date,year,type,country,state,location,activity,sex,age,injury,time,species
30-Jun-2022,2022.0,Unprovoked,USA,Florida,"Keaton Beach, ",Scalloping,F,17,Severe bites to leg,15h00,9' shark
29-Jun-2022,2022.0,Unprovoked,USA,Florida,"Sawyer Key , Monroe County",Swimming,F,35,Injured,20h00,
29-Jun-2022,2022.0,Unprovoked,USA,Florida,"Summerland Key, Monroe County",Jumped into water,M,,Injured,Afternoon,
28-Jun-2022,2022.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sanctuary Beach, Plettenberg Bay",Swimming,M,,Fatal,14h09,While shark
24-Jun-2022,2022.0,Unprovoked,JAMAICA,,,Fishing,M,,Right arm severed,Afternoon,Tiger shark
23-Jun-2022,2022.0,Unprovoked,USA,Florida,"Redington Beach, Pinellas County",,F,,Injured,,
22-Jun-2022,2022.0,Unprovoked,USA,California,"Pacific Grove, Monterey County",Swimming,M,62,Injured,10h40,White shark
21-Jun-2022,2022.0,Unprovoked,USA,South Carolina,Horry County,,M,teen,,,
01-Jun-2022,2022.0,Unprovoked,AUSTRALIA,Western Australia,Oyster Stacks near Exmouth12h15,Swimming,F,,Injured,12h15,
27-May-2022,2022.0,Unprovoked,AUSTRALIA,Western Australia,Yallingup,Surfing,F,,No injury,,"Bronze whaler shark, 2m"
20-May-2022,2022.0,Unprovoked,AUSTRALIA,Western Australia,"Royal Perth Yacht Club, Swan River",Diving,M,20,No Injury,,Bull shark
19-May-2022,2022.0,Provoked,BELIZE,Ambergris Cay,Off San Pedro,Fishing,M,,Injured,,5' shark
10-May-2022,2022.0,Unprovoked,MALDIVES,,"Maafilaafushi Island, Lhaviyani Atoll ",Fishing,M,62,Injured,,
07-May-2022,2022.0,Unprovoked,FRENCH POLYNESIA,Bora Bora,To'opua,,M,,Injured,,
03-May-2022,2022.0,Provoked,USA,Georgia,"Île de Saint Simon, Glynn County",Fishing,M,,Injured,19h12,Black shark
01-May-2022,2022.0,Unprovoked,THAILAND,Phuket,Kamala Beach,Playing in the water,M,8,Injured,Afternoon,1m shark
30-Apr-2022,2022.0,Unprovoked,FRENCH POLYNESIA,Tahiti,"Pointe des pêcheurs, Punaahuia",,M,22,Injured,Morning,Tiger shark
